Country_Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Summe,ISO 3
United States of America,2547,2683,2596,3443,3216,2919,3249,3901,3818,2837,2917,34126,USA
France,933,1104,1077,1058,1041,2058,1530,1419,1328,1031,1020,13599,FRA
China,585,552,621,608,519,596,499,579,677,955,1006,7197,CHN
United Kingdom,707,876,1054,996,769,859,1228,1356,1282,1404,922,11453,GBR
Russian Federation,734,516,745,1203,2577,1503,1463,1155,1571,859,828,13154,RUS
Italy,402,846,740,809,617,701,729,602,1009,572,803,7830,ITA
Spain,555,542,768,540,413,377,349,662,623,361,580,5770,ESP
Austria,,,261,340,344,677,607,505,524,302,529,4089,AUT
Turkey,322,398,458,585,667,872,1906,1347,973,559,474,8561,TUR
Greece,595,932,1039,324,,1804,715,268,265,,377,6319,GRC
Israel,493,402,534,423,754,381,,343,448,361,347,4486,ISR
Poland,445,,311,,312,,417,330,287,237,338,2677,POL
Belarus,,,,,,,,,,,329,329,BLR
Islamic Republic of Iran,350,239,369,287,,354,259,335,564,497,305,3559,IRN
Syrian Arab Republic,,591,1390,1071,1004,1442,1578,685,912,622,264,9559,SYR
Netherlands,300,,301,272,350,,289,359,,,238,2109,ANT
Belgium,456,569,,,411,378,829,,,,236,2879,BEL
Ukraine,,,312,,2424,882,315,,,298,,4231,UKR
Iraq,,,,,804,582,487,382,,249,,2504,IRQ
Switzerland,308,242,428,401,461,439,399,299,272,223,,3472,CHE
Mexico,,,,,,,,,,216,,216,MEX
Republic of Korea,,,,,,,,,463,,,463,KOR
D. P. R. of Korea,,,,,,,,458,338,,,796,PRK
Saudi Arabia,,,,,,,,,270,,,270,SAU
Afghanistan,877,618,405,318,333,352,,291,,,,3194,AFG
Brazil,,,,283,588,,451,,,,,1322,BRA
Hungary,,,,,,465,,,,,,465,HUN
Australia,,,,,305,,,,,,,305,AUS
Arab Republic of Egypt,,787,558,527,,,,,,,,1872,EGY
Japan,,973,259,265,,,,,,,,1497,JPN
Libya,,1294,,,,,,,,,,1294,LBY
Tunisia,,419,,,,,,,,,,419,TUN
Norway,,295,,,,,,,,,,295,NOR
Canada,287,,,,,,,,,,,287,CAN
South Afrika,393,,,,,,,,,,,393,ZAF
Haiti,321,,,,,,,,,,,321,HTI
Pakistan,413,,,,,,,,,,,413,PAK
